År,Måned,Dag,Fra_time,Volum til SNTR,Volum til DNP,Volum totalt
2020,1,1,0,58,59,117
2020,1,1,1,44,48,92
2020,1,1,2,36,42,78
2020,1,1,3,34,21,55
2020,1,1,4,28,19,47
2020,1,1,5,27,24,51
2020,1,1,6,17,17,34
2020,1,1,7,8,18,26
2020,1,1,8,20,10,30
2020,1,1,9,25,23,48
2020,1,1,10,34,23,57
2020,1,1,11,57,41,98
2020,1,1,12,74,63,137
2020,1,1,13,97,102,199
2020,1,1,14,122,106,228
2020,1,1,15,97,120,217
2020,1,1,16,112,111,223
2020,1,1,17,100,102,202
2020,1,1,18,80,71,151
2020,1,1,19,80,77,157
2020,1,1,20,61,63,124
2020,1,1,21,35,54,89
2020,1,1,22,31,48,79
2020,1,1,23,9,18,27
2020,1,2,0,8,16,24
2020,1,2,1,9,8,17
2020,1,2,2,8,6,14
2020,1,2,3,9,5,14
2020,1,2,4,13,7,20
2020,1,2,5,86,35,121
2020,1,2,6,184,84,268
2020,1,2,7,269,135,404
2020,1,2,8,181,116,297
2020,1,2,9,160,113,273
2020,1,2,10,134,111,245
2020,1,2,11,176,145,321
2020,1,2,12,174,187,361
2020,1,2,13,175,208,383
2020,1,2,14,191,275,466
2020,1,2,15,153,210,363
2020,1,2,16,92,137,229
2020,1,2,17,89,116,205
2020,1,2,18,101,93,194
2020,1,2,19,61,76,137
2020,1,2,20,55,71,126
2020,1,2,21,52,56,108
2020,1,2,22,31,33,64
2020,1,2,23,16,15,31
2020,1,3,0,5,11,16
2020,1,3,1,10,8,18
2020,1,3,2,10,5,15
2020,1,3,3,9,2,11
2020,1,3,4,18,2,20
2020,1,3,5,96,38,134
2020,1,3,6,285,121,406
2020,1,3,7,521,177,698
2020,1,3,8,230,135,365
2020,1,3,9,176,139,315
2020,1,3,10,179,147,326
2020,1,3,11,172,168,340
2020,1,3,12,193,159,352
2020,1,3,13,209,211,420
2020,1,3,14,216,292,508
2020,1,3,15,153,247,400
2020,1,3,16,121,130,251
2020,1,3,17,120,118,238
2020,1,3,18,107,90,197
2020,1,3,19,92,94,186
2020,1,3,20,62,59,121
2020,1,3,21,46,55,101
2020,1,3,22,33,43,76
2020,1,3,23,27,32,59
2020,1,4,0,19,18,37
2020,1,4,1,20,23,43
2020,1,4,2,7,30,37
2020,1,4,3,9,14,23
2020,1,4,4,9,7,16
2020,1,4,5,23,12,35
2020,1,4,6,28,17,45
2020,1,4,7,26,19,45
2020,1,4,8,42,31,73
2020,1,4,9,75,61,136
2020,1,4,10,95,71,166
2020,1,4,11,112,101,213
2020,1,4,12,130,120,250
2020,1,4,13,143,157,300
2020,1,4,14,151,153,304
2020,1,4,15,130,127,257
2020,1,4,16,113,113,226
2020,1,4,17,114,132,246
2020,1,4,18,79,90,169
2020,1,4,19,80,76,156
2020,1,4,20,50,68,118
2020,1,4,21,45,66,111
2020,1,4,22,36,48,84
2020,1,4,23,35,46,81
2020,1,5,0,18,27,45
2020,1,5,1,21,23,44
2020,1,5,2,17,23,40
2020,1,5,3,19,26,45
2020,1,5,4,11,8,19
2020,1,5,5,18,11,29
2020,1,5,6,10,14,24
2020,1,5,7,26,17,43
2020,1,5,8,48,20,68
2020,1,5,9,83,39,122
2020,1,5,10,86,58,144
2020,1,5,11,129,114,243
2020,1,5,12,125,125,250
2020,1,5,13,153,163,316
2020,1,5,14,143,185,328
2020,1,5,15,139,169,308
2020,1,5,16,120,155,275
2020,1,5,17,125,101,226
2020,1,5,18,115,127,242
2020,1,5,19,106,110,216
2020,1,5,20,72,80,152
2020,1,5,21,40,43,83
2020,1,5,22,22,29,51
2020,1,5,23,17,18,35
2020,1,6,0,12,7,19
2020,1,6,1,11,5,16
2020,1,6,2,4,10,14
2020,1,6,3,8,2,10
2020,1,6,4,22,8,30
2020,1,6,5,122,44,166
2020,1,6,6,221,142,363
2020,1,6,7,390,197,587
2020,1,6,8,230,147,377
2020,1,6,9,182,115,297
2020,1,6,10,188,135,323
2020,1,6,11,178,144,322
2020,1,6,12,193,191,384
2020,1,6,13,192,257,449
2020,1,6,14,247,307,554
2020,1,6,15,206,279,485
2020,1,6,16,150,142,292
2020,1,6,17,126,117,243
2020,1,6,18,86,113,199
2020,1,6,19,83,87,170
2020,1,6,20,84,96,180
2020,1,6,21,50,58,108
2020,1,6,22,21,29,50
2020,1,6,23,13,13,26
2020,1,7,0,9,16,25
2020,1,7,1,8,7,15
2020,1,7,2,8,16,24
2020,1,7,3,11,7,18
2020,1,7,4,22,5,27
2020,1,7,5,109,49,158
2020,1,7,6,226,112,338
2020,1,7,7,357,186,543
2020,1,7,8,240,124,364
2020,1,7,9,189,168,357
2020,1,7,10,196,161,357
2020,1,7,11,225,175,400
2020,1,7,12,206,211,417
2020,1,7,13,217,205,422
2020,1,7,14,267,324,591
2020,1,7,15,203,279,482
2020,1,7,16,179,160,339
2020,1,7,17,151,134,285
2020,1,7,18,114,122,236
2020,1,7,19,95,96,191
2020,1,7,20,76,106,182
2020,1,7,21,51,75,126
2020,1,7,22,42,49,91
2020,1,7,23,6,18,24
2020,1,8,0,8,7,15
2020,1,8,1,3,4,7
2020,1,8,2,5,10,15
2020,1,8,3,7,5,12
2020,1,8,4,19,4,23
2020,1,8,5,99,39,138
2020,1,8,6,228,122,350
2020,1,8,7,361,181,542
2020,1,8,8,246,158,404
2020,1,8,9,216,160,376
2020,1,8,10,231,161,392
2020,1,8,11,174,167,341
2020,1,8,12,177,224,401
2020,1,8,13,216,224,440
2020,1,8,14,232,375,607
2020,1,8,15,183,274,457
2020,1,8,16,154,169,323
2020,1,8,17,143,124,267
2020,1,8,18,111,119,230
2020,1,8,19,96,90,186
2020,1,8,20,80,87,167
2020,1,8,21,51,68,119
2020,1,8,22,30,26,56
2020,1,8,23,22,18,40
2020,1,9,0,10,9,19
2020,1,9,1,15,4,19
2020,1,9,2,18,7,25
2020,1,9,3,10,4,14
2020,1,9,4,20,2,22
2020,1,9,5,96,42,138
2020,1,9,6,222,113,335
2020,1,9,7,380,209,589
2020,1,9,8,244,145,389
2020,1,9,9,197,145,342
2020,1,9,10,227,163,390
2020,1,9,11,204,181,385
2020,1,9,12,210,178,388
2020,1,9,13,189,209,398
2020,1,9,14,244,322,566
2020,1,9,15,214,272,486
2020,1,9,16,135,165,300
2020,1,9,17,136,142,278
2020,1,9,18,123,104,227
2020,1,9,19,87,96,183
2020,1,9,20,63,106,169
2020,1,9,21,73,63,136
2020,1,9,22,32,28,60
2020,1,9,23,24,20,44
2020,1,10,0,12,17,29
2020,1,10,1,11,13,24
2020,1,10,2,15,19,34
2020,1,10,3,12,4,16
2020,1,10,4,17,5,22
2020,1,10,5,93,37,130
2020,1,10,6,230,121,351
2020,1,10,7,370,173,543
2020,1,10,8,243,137,380
2020,1,10,9,175,133,308
2020,1,10,10,210,178,388
2020,1,10,11,212,186,398
2020,1,10,12,236,226,462
2020,1,10,13,234,249,483
2020,1,10,14,238,311,549
2020,1,10,15,178,256,434
2020,1,10,16,134,150,284
2020,1,10,17,130,115,245
2020,1,10,18,107,107,214
2020,1,10,19,91,80,171
2020,1,10,20,70,71,141
2020,1,10,21,52,53,105
2020,1,10,22,46,68,114
2020,1,10,23,25,36,61
2020,1,11,0,20,18,38
2020,1,11,1,29,22,51
2020,1,11,2,15,25,40
2020,1,11,3,9,14,23
2020,1,11,4,14,7,21
2020,1,11,5,26,13,39
2020,1,11,6,38,20,58
2020,1,11,7,40,24,64
2020,1,11,8,58,42,100
2020,1,11,9,88,58,146
2020,1,11,10,144,92,236
2020,1,11,11,159,103,262
2020,1,11,12,151,168,319
2020,1,11,13,188,135,323
2020,1,11,14,170,168,338
2020,1,11,15,159,163,322
2020,1,11,16,115,143,258
2020,1,11,17,132,124,256
2020,1,11,18,123,126,249
2020,1,11,19,72,70,142
2020,1,11,20,53,54,107
2020,1,11,21,47,76,123
2020,1,11,22,41,42,83
2020,1,11,23,23,41,64
2020,1,12,0,35,30,65
2020,1,12,1,23,42,65
2020,1,12,2,26,37,63
2020,1,12,3,13,25,38
2020,1,12,4,7,17,24
2020,1,12,5,19,12,31
2020,1,12,6,19,16,35
2020,1,12,7,31,16,47
2020,1,12,8,43,28,71
2020,1,12,9,88,41,129
2020,1,12,10,96,64,160
2020,1,12,11,117,124,241
2020,1,12,12,147,128,275
2020,1,12,13,178,163,341
2020,1,12,14,161,192,353
2020,1,12,15,141,191,332
2020,1,12,16,146,145,291
2020,1,12,17,116,130,246
2020,1,12,18,107,117,224
2020,1,12,19,92,114,206
2020,1,12,20,60,91,151
2020,1,12,21,52,59,111
2020,1,12,22,25,29,54
2020,1,12,23,13,17,30
2020,1,13,0,12,15,27
2020,1,13,1,8,12,20
2020,1,13,2,11,10,21
2020,1,13,3,9,9,18
2020,1,13,4,24,8,32
2020,1,13,5,113,53,166
2020,1,13,6,223,133,356
2020,1,13,7,352,214,566
2020,1,13,8,256,142,398
2020,1,13,9,184,149,333
2020,1,13,10,244,156,400
2020,1,13,11,217,169,386
2020,1,13,12,198,212,410
2020,1,13,13,193,222,415
2020,1,13,14,244,332,576
2020,1,13,15,205,294,499
2020,1,13,16,168,160,328
2020,1,13,17,157,157,314
2020,1,13,18,114,108,222
2020,1,13,19,91,94,185
2020,1,13,20,81,123,204
2020,1,13,21,64,55,119
2020,1,13,22,29,29,58
2020,1,13,23,17,19,36
2020,1,14,0,9,9,18
2020,1,14,1,4,12,16
2020,1,14,2,12,13,25
2020,1,14,3,7,4,11
2020,1,14,4,21,8,29
2020,1,14,5,111,50,161
2020,1,14,6,243,125,368
2020,1,14,7,379,202,581
2020,1,14,8,269,156,425
2020,1,14,9,226,169,395
2020,1,14,10,211,183,394
2020,1,14,11,192,176,368
2020,1,14,12,244,207,451
2020,1,14,13,235,235,470
2020,1,14,14,247,309,556
2020,1,14,15,205,285,490
2020,1,14,16,184,172,356
2020,1,14,17,174,152,326
2020,1,14,18,130,135,265
2020,1,14,19,83,122,205
2020,1,14,20,76,121,197
2020,1,14,21,48,310,358
2020,1,14,22,29,190,219
2020,1,14,23,17,45,62
2020,1,15,0,8,28,36
2020,1,15,1,7,26,33
2020,1,15,2,8,14,22
2020,1,15,3,5,21,26
2020,1,15,4,24,12,36
2020,1,15,5,97,45,142
2020,1,15,6,210,124,334
2020,1,15,7,390,216,606
2020,1,15,8,231,141,372
2020,1,15,9,230,164,394
2020,1,15,10,202,162,364
2020,1,15,11,205,175,380
2020,1,15,12,218,216,434
2020,1,15,13,212,223,435
2020,1,15,14,229,297,526
2020,1,15,15,211,284,495
2020,1,15,16,186,193,379
2020,1,15,17,176,140,316
2020,1,15,18,110,136,246
2020,1,15,19,110,105,215
2020,1,15,20,79,76,155
2020,1,15,21,61,131,192
2020,1,15,22,25,80,105
2020,1,15,23,18,24,42
2020,1,16,0,10,8,18
2020,1,16,1,2,8,10
2020,1,16,2,12,7,19
2020,1,16,3,10,4,14
2020,1,16,4,18,6,24
2020,1,16,5,122,36,158
2020,1,16,6,226,132,358
2020,1,16,7,348,194,542
2020,1,16,8,295,132,427
2020,1,16,9,207,153,360
2020,1,16,10,200,182,382
2020,1,16,11,229,179,408
2020,1,16,12,184,165,349
2020,1,16,13,202,227,429
2020,1,16,14,236,324,560
2020,1,16,15,221,280,501
2020,1,16,16,164,195,359
2020,1,16,17,174,159,333
2020,1,16,18,126,133,259
2020,1,16,19,97,92,189
2020,1,16,20,63,103,166
2020,1,16,21,70,86,156
2020,1,16,22,38,31,69
2020,1,16,23,17,20,37
2020,1,17,0,20,15,35
2020,1,17,1,10,41,51
2020,1,17,2,10,47,57
2020,1,17,3,8,12,20
2020,1,17,4,20,13,33
2020,1,17,5,120,45,165
2020,1,17,6,200,132,332
2020,1,17,7,383,179,562
2020,1,17,8,254,151,405
2020,1,17,9,180,136,316
2020,1,17,10,197,151,348
2020,1,17,11,220,164,384
2020,1,17,12,215,199,414
2020,1,17,13,233,245,478
2020,1,17,14,272,330,602
2020,1,17,15,209,270,479
2020,1,17,16,142,160,302
2020,1,17,17,147,106,253
2020,1,17,18,102,95,197
2020,1,17,19,88,101,189
2020,1,17,20,60,68,128
2020,1,17,21,58,66,124
2020,1,17,22,39,69,108
2020,1,17,23,39,46,85
2020,1,18,0,26,21,47
2020,1,18,1,9,22,31
2020,1,18,2,9,32,41
2020,1,18,3,11,22,33
2020,1,18,4,8,12,20
2020,1,18,5,15,9,24
2020,1,18,6,18,10,28
